Country,Region,Year,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom to Make Choices,Generosity,Perceptions of Corruption
Switzerland,Europe,2025,3.805,1.044,1.017,0.725,0.744,0.467,0.416
Austria,Europe,2024,4.46,1.216,1.042,0.889,0.55,0.097,0.089
Australia,Oceania,2022,5.967,1.575,1.18,1.008,0.574,0.443,0.079
Denmark,Europe,2024,4.114,1.055,0.908,0.788,0.737,0.367,0.041
Finland,Europe,2017,5.29,1.447,1.139,1.039,0.739,0.133,0.452
Sweden,Europe,2019,3.7,0.928,0.942,0.719,0.6,0.224,0.32
Norway,Europe,2015,3.022,0.877,0.771,0.622,0.356,0.132,0.112
Netherlands,Europe,2015,5.076,1.177,1.055,0.877,0.653,0.112,0.249
Denmark,Europe,2023,6.859,1.639,1.472,1.273,0.56,0.476,0.331
Finland,Europe,2019,5.419,1.484,1.274,1.094,0.407,0.29,0.454
New Zealand,Oceania,2019,7.645,1.756,1.747,1.336,0.344,0.528,0.126
Canada,North America,2017,3.748,0.912,0.92,0.689,0.584,0.277,0.442
Luxembourg,Europe,2026,5.691,1.488,1.303,1.144,0.661,0.541,0.123
Finland,Europe,2022,5.608,1.531,1.171,0.969,0.667,0.134,0.32
Sweden,Europe,2026,4.109,0.997,1.008,0.834,0.697,0.445,0.3
India,South Asia,2022,6.793,1.564,1.329,1.273,0.629,0.419,0.191
Austria,Europe,2026,4.589,1.212,0.994,0.926,0.777,0.273,0.438
Finland,Europe,2018,7.215,1.802,1.49,1.278,0.726,0.126,0.369
Norway,Europe,2025,6.28,1.595,1.397,1.1,0.673,0.246,0.073
Germany,Europe,2016,3.622,0.895,0.997,0.775,0.679,0.251,0.198
Denmark,Europe,2019,6.552,1.619,1.57,1.274,0.547,0.492,0.272
Denmark,Europe,2026,3.264,0.912,0.958,0.746,0.772,0.096,0.179
Canada,North America,2020,4.516,1.188,1.022,0.89,0.563,0.172,0.048
Luxembourg,Europe,2019,4.655,1.125,0.982,0.93,0.635,0.506,0.092
Iceland,Europe,2021,5.774,1.387,1.221,1.044,0.576,0.05,0.421
Denmark,Europe,2018,5.321,1.316,1.211,1.076,0.893,0.012,0.197
Luxembourg,Europe,2015,5.626,1.518,1.388,1.128,0.347,0.073,0.494
Austria,Europe,2025,7.552,1.954,1.74,1.315,0.774,0.393,0.09
Switzerland,Europe,2016,6.589,1.724,1.545,1.119,0.593,0.287,0.449
India,South Asia,2022,6.546,1.645,1.555,1.173,0.695,0.584,0.372
Austria,Europe,2015,3.804,1.092,0.885,0.812,0.72,0.596,0.235
Germany,Europe,2022,5.029,1.354,1.247,1.033,0.331,0.316,0.054
Denmark,Europe,2015,5.385,1.424,1.089,0.991,0.705,0.08,0.163
Switzerland,Europe,2021,3.092,0.962,0.889,0.643,0.53,0.062,0.408
New Zealand,Oceania,2023,6.025,1.401,1.263,1.096,0.46,0.26,0.113
Denmark,Europe,2022,6.131,1.622,1.319,1.158,0.381,0.324,0.461
New Zealand,Oceania,2016,4.284,1.026,1.031,0.879,0.335,0.042,0.435
Germany,Europe,2017,5.222,1.435,1.136,1.063,0.885,0.145,0.257
Norway,Europe,2019,7.158,1.701,1.628,1.368,0.804,0.545,0.354
Iceland,Europe,2018,3.791,1.062,1.002,0.757,0.348,0.373,0.026
India,South Asia,2018,6.429,1.598,1.502,1.16,0.77,0.558,0.366
Norway,Europe,2023,3.322,0.832,0.99,0.737,0.637,0.22,0.022
New Zealand,Oceania,2015,5.395,1.29,1.123,1.011,0.652,0.144,0.294
Canada,North America,2018,5.271,1.424,1.327,0.909,0.357,0.286,0.294
Norway,Europe,2018,4.567,1.215,0.923,0.979,0.439,0.55,0.055
Switzerland,Europe,2018,4.127,1.207,0.844,0.847,0.822,0.403,0.181
Switzerland,Europe,2024,5.889,1.458,1.363,1.02,0.54,0.041,0.299
Germany,Europe,2018,3.791,0.936,0.979,0.771,0.439,0.242,0.187
Canada,North America,2025,4.771,1.301,1.199,0.975,0.64,0.196,0.205
Germany,Europe,2022,5.793,1.559,1.228,1.061,0.693,0.507,0.127
Norway,Europe,2016,7.249,1.665,1.586,1.359,0.853,0.008,0.185
Canada,North America,2017,5.727,1.468,1.431,1.062,0.631,0.249,0.074
Norway,Europe,2023,4.186,1.171,1.017,0.787,0.593,0.131,0.093
Luxembourg,Europe,2023,7.535,1.728,1.686,1.321,0.533,0.414,0.133
India,South Asia,2017,4.027,0.982,0.835,0.768,0.585,0.441,0.163
Netherlands,Europe,2015,4.107,1.176,0.901,0.892,0.568,0.561,0.204
Australia,Oceania,2017,5.635,1.437,1.305,1.028,0.329,0.376,0.467
Australia,Oceania,2019,5.865,1.345,1.188,1.147,0.798,0.568,0.282
Australia,Oceania,2016,5.829,1.528,1.187,1.102,0.872,0.097,0.372
Canada,North America,2021,6.922,1.747,1.624,1.281,0.546,0.007,0.396
Finland,Europe,2025,6.219,1.444,1.487,1.12,0.852,0.424,0.061
India,South Asia,2026,7.368,1.871,1.552,1.396,0.461,0.225,0.375
Canada,North America,2019,5.474,1.436,1.278,0.952,0.678,0.344,0.279
Germany,Europe,2018,6.608,1.694,1.506,1.192,0.537,0.237,0.367
Germany,Europe,2015,4.624,1.224,1.184,0.806,0.883,0.058,0.256
Norway,Europe,2023,3.663,1.085,0.901,0.678,0.727,0.398,0.481
Switzerland,Europe,2021,4.285,1.008,1.091,0.866,0.884,0.427,0.467
Switzerland,Europe,2025,6.76,1.593,1.408,1.134,0.687,0.108,0.129
Netherlands,Europe,2022,4.568,1.197,1.042,0.8,0.518,0.245,0.448
Iceland,Europe,2023,4.82,1.306,1.195,0.983,0.872,0.477,0.204
Norway,Europe,2019,5.442,1.317,1.17,0.961,0.387,0.111,0.032
United States,North America,2019,7.469,1.84,1.697,1.257,0.841,0.304,0.034
Netherlands,Europe,2022,4.483,1.047,1.0,0.784,0.442,0.159,0.497
Canada,North America,2022,4.148,1.134,1.104,0.8,0.825,0.204,0.099
India,South Asia,2019,6.329,1.582,1.365,1.164,0.741,0.062,0.277
Germany,Europe,2020,4.74,1.283,1.207,0.975,0.69,0.43,0.394
Netherlands,Europe,2019,3.791,0.991,0.905,0.813,0.415,0.493,0.163
Switzerland,Europe,2023,6.707,1.682,1.4,1.183,0.483,0.357,0.166
Austria,Europe,2026,5.783,1.359,1.234,1.012,0.534,0.31,0.253
New Zealand,Oceania,2022,6.524,1.676,1.365,1.092,0.323,0.461,0.193
Sweden,Europe,2026,6.681,1.528,1.551,1.257,0.702,0.456,0.49
India,South Asia,2023,7.149,1.768,1.606,1.22,0.458,0.135,0.344
Australia,Oceania,2015,7.321,1.681,1.67,1.364,0.493,0.179,0.153
Germany,Europe,2024,6.992,1.671,1.536,1.177,0.581,0.599,0.079
Sweden,Europe,2026,3.862,0.953,0.8,0.824,0.686,0.107,0.396
Sweden,Europe,2018,3.648,0.958,0.784,0.7,0.523,0.511,0.396
Australia,Oceania,2018,3.082,0.777,0.773,0.602,0.661,0.269,0.02
Germany,Europe,2024,3.093,0.82,0.735,0.702,0.484,0.225,0.363
Sweden,Europe,2020,5.068,1.332,1.105,0.902,0.533,0.364,0.328
India,South Asia,2022,6.317,1.608,1.238,1.143,0.42,0.194,0.489
United States,North America,2019,6.468,1.516,1.266,1.17,0.397,0.579,0.102
New Zealand,Oceania,2022,3.154,0.826,0.675,0.673,0.603,0.032,0.12
India,South Asia,2021,5.22,1.307,1.249,1.026,0.757,0.498,0.116
Netherlands,Europe,2020,3.219,0.954,0.691,0.645,0.644,0.246,0.141
Germany,Europe,2021,6.829,1.796,1.434,1.132,0.322,0.456,0.276
New Zealand,Oceania,2019,3.037,0.804,0.872,0.748,0.559,0.219,0.223
India,South Asia,2020,6.004,1.554,1.416,1.131,0.563,0.57,0.356
Norway,Europe,2016,5.144,1.386,1.158,0.975,0.475,0.503,0.261
India,South Asia,2019,7.227,1.87,1.648,1.197,0.566,0.206,0.107
Canada,North America,2025,7.272,1.766,1.449,1.194,0.563,0.024,0.305
Norway,Europe,2023,7.315,1.707,1.528,1.369,0.585,0.036,0.055
Denmark,Europe,2022,6.57,1.714,1.318,1.238,0.693,0.139,0.487
Austria,Europe,2018,5.069,1.319,1.148,0.925,0.346,0.274,0.409
Denmark,Europe,2020,5.794,1.545,1.208,1.006,0.763,0.153,0.096
Finland,Europe,2018,4.884,1.343,1.165,0.914,0.621,0.572,0.057
Germany,Europe,2024,7.62,1.966,1.525,1.272,0.553,0.03,0.327
New Zealand,Oceania,2025,3.279,0.893,0.977,0.677,0.514,0.599,0.266
Norway,Europe,2017,4.852,1.166,1.127,0.916,0.462,0.096,0.156
Netherlands,Europe,2015,4.31,1.051,0.964,0.916,0.528,0.172,0.403
Iceland,Europe,2025,5.851,1.556,1.276,1.032,0.595,0.43,0.258
Netherlands,Europe,2023,7.644,1.754,1.619,1.259,0.678,0.047,0.088
Luxembourg,Europe,2026,6.594,1.542,1.541,1.115,0.321,0.237,0.49
Luxembourg,Europe,2025,3.488,1.005,0.822,0.767,0.42,0.276,0.133
Australia,Oceania,2017,6.658,1.644,1.577,1.151,0.444,0.368,0.311
United States,North America,2024,6.291,1.514,1.4,1.099,0.4,0.273,0.109
New Zealand,Oceania,2016,4.457,1.18,0.981,0.82,0.51,0.55,0.196
New Zealand,Oceania,2020,4.456,1.19,1.09,0.888,0.396,0.381,0.215
India,South Asia,2025,3.576,1.069,0.826,0.743,0.34,0.255,0.063
Austria,Europe,2019,7.639,1.913,1.691,1.264,0.858,0.282,0.426
Australia,Oceania,2017,4.431,1.274,1.026,0.942,0.497,0.315,0.427
Norway,Europe,2023,6.481,1.533,1.313,1.118,0.596,0.481,0.177
United States,North America,2022,7.697,1.938,1.492,1.363,0.352,0.537,0.395
Switzerland,Europe,2025,5.92,1.483,1.321,1.065,0.581,0.381,0.466
Iceland,Europe,2023,4.97,1.258,1.284,1.012,0.4,0.479,0.089
Australia,Oceania,2016,3.233,0.935,0.934,0.715,0.642,0.425,0.215
Sweden,Europe,2025,4.699,1.124,1.14,0.945,0.602,0.087,0.422
Denmark,Europe,2022,7.172,1.861,1.633,1.368,0.873,0.372,0.364
Switzerland,Europe,2020,5.981,1.371,1.283,1.017,0.48,0.041,0.46
Austria,Europe,2020,3.909,1.056,0.863,0.847,0.484,0.189,0.435
New Zealand,Oceania,2016,6.284,1.504,1.239,1.083,0.54,0.101,0.097
India,South Asia,2017,7.617,1.917,1.567,1.433,0.687,0.273,0.234
Iceland,Europe,2022,4.118,1.053,1.0,0.823,0.757,0.215,0.358
Switzerland,Europe,2026,7.617,1.822,1.741,1.407,0.683,0.393,0.042
Australia,Oceania,2024,3.513,0.964,0.831,0.713,0.666,0.545,0.229
Sweden,Europe,2020,5.604,1.384,1.364,0.979,0.564,0.015,0.082
Luxembourg,Europe,2025,5.202,1.235,1.112,0.954,0.342,0.351,0.304
United States,North America,2024,4.931,1.238,1.088,0.951,0.508,0.25,0.399
Denmark,Europe,2019,5.972,1.49,1.266,1.141,0.631,0.286,0.334
Netherlands,Europe,2015,7.669,1.894,1.743,1.251,0.618,0.129,0.047
Iceland,Europe,2026,6.585,1.602,1.486,1.186,0.562,0.174,0.191
Denmark,Europe,2024,6.102,1.421,1.226,1.147,0.628,0.258,0.076
Finland,Europe,2019,6.791,1.766,1.533,1.131,0.702,0.145,0.158
Canada,North America,2019,6.724,1.691,1.494,1.242,0.442,0.267,0.317
Australia,Oceania,2019,6.801,1.618,1.555,1.208,0.702,0.273,0.474
United States,North America,2019,4.814,1.338,1.228,0.907,0.439,0.164,0.11
New Zealand,Oceania,2026,4.202,1.122,1.017,0.899,0.738,0.499,0.106
Luxembourg,Europe,2016,3.193,0.77,0.889,0.584,0.648,0.504,0.19
Finland,Europe,2016,6.426,1.696,1.472,1.18,0.438,0.009,0.347
Norway,Europe,2015,7.119,1.733,1.541,1.319,0.768,0.386,0.469
Norway,Europe,2023,7.545,1.916,1.67,1.364,0.362,0.163,0.003
Finland,Europe,2025,5.108,1.21,1.29,1.027,0.343,0.149,0.41
New Zealand,Oceania,2017,7.538,1.958,1.75,1.313,0.45,0.455,0.15
New Zealand,Oceania,2024,5.563,1.472,1.184,1.036,0.638,0.566,0.133
Luxembourg,Europe,2015,7.773,1.847,1.727,1.292,0.573,0.111,0.096
Finland,Europe,2023,5.952,1.471,1.219,1.099,0.469,0.058,0.233
Netherlands,Europe,2019,3.225,0.86,0.758,0.59,0.375,0.083,0.091
Denmark,Europe,2017,5.11,1.211,1.05,0.926,0.779,0.219,0.08
Germany,Europe,2024,5.665,1.304,1.308,1.029,0.306,0.404,0.356
Sweden,Europe,2019,4.641,1.203,1.052,0.936,0.65,0.049,0.322
Denmark,Europe,2019,4.779,1.32,1.213,0.852,0.843,0.265,0.362
Australia,Oceania,2015,5.595,1.417,1.344,1.014,0.897,0.567,0.006
Luxembourg,Europe,2023,7.147,1.687,1.678,1.291,0.304,0.02,0.074
Germany,Europe,2021,6.685,1.576,1.594,1.23,0.716,0.131,0.446
Sweden,Europe,2017,7.149,1.862,1.425,1.192,0.782,0.52,0.292
Germany,Europe,2018,7.702,1.833,1.783,1.447,0.684,0.2,0.377
Germany,Europe,2022,6.87,1.65,1.58,1.315,0.868,0.41,0.106
Norway,Europe,2021,3.707,1.107,0.906,0.827,0.579,0.396,0.012
Iceland,Europe,2015,5.705,1.394,1.176,1.05,0.738,0.374,0.364
United States,North America,2016,5.117,1.306,1.317,1.061,0.549,0.411,0.134
Luxembourg,Europe,2024,6.688,1.63,1.357,1.255,0.849,0.56,0.298
Austria,Europe,2024,7.194,1.71,1.605,1.351,0.422,0.214,0.49
United States,North America,2026,3.315,0.912,0.738,0.73,0.775,0.385,0.397
Austria,Europe,2026,3.911,1.006,1.091,0.744,0.338,0.231,0.183
Sweden,Europe,2019,5.689,1.55,1.351,0.961,0.728,0.495,0.448
Sweden,Europe,2025,3.931,1.098,0.958,0.839,0.597,0.077,0.285
Luxembourg,Europe,2018,7.219,1.862,1.535,1.274,0.609,0.312,0.475
Switzerland,Europe,2024,5.264,1.267,1.121,1.056,0.629,0.514,0.257
Switzerland,Europe,2026,4.223,1.133,1.011,0.917,0.551,0.513,0.282
Switzerland,Europe,2017,7.257,1.896,1.626,1.251,0.479,0.185,0.049
India,South Asia,2016,5.788,1.526,1.153,1.082,0.523,0.535,0.073
United States,North America,2015,4.656,1.26,1.203,0.836,0.896,0.486,0.069
Canada,North America,2016,6.0,1.591,1.238,1.146,0.462,0.483,0.342
United States,North America,2020,7.7,1.887,1.771,1.344,0.562,0.3,0.349
United States,North America,2024,5.674,1.532,1.155,0.977,0.805,0.505,0.236
United States,North America,2023,6.261,1.673,1.387,1.079,0.567,0.588,0.185
India,South Asia,2026,6.826,1.662,1.491,1.245,0.699,0.046,0.467
India,South Asia,2020,6.033,1.485,1.356,1.171,0.496,0.574,0.233
Norway,Europe,2021,6.685,1.638,1.479,1.27,0.626,0.443,0.395
Norway,Europe,2022,5.684,1.367,1.238,0.956,0.53,0.485,0.271
Australia,Oceania,2018,5.255,1.279,1.189,0.969,0.859,0.025,0.342
Australia,Oceania,2020,7.604,1.767,1.628,1.249,0.6,0.075,0.419
Luxembourg,Europe,2026,5.464,1.382,1.375,1.051,0.473,0.144,0.064
Sweden,Europe,2024,7.77,1.856,1.638,1.325,0.442,0.553,0.374
Switzerland,Europe,2015,6.361,1.691,1.267,1.107,0.42,0.522,0.09
Iceland,Europe,2021,5.611,1.44,1.352,1.023,0.621,0.579,0.149
Netherlands,Europe,2018,6.411,1.653,1.378,1.104,0.767,0.402,0.438
Austria,Europe,2023,3.985,1.135,0.87,0.87,0.762,0.342,0.321
Netherlands,Europe,2024,3.191,0.835,0.921,0.672,0.434,0.501,0.114
Germany,Europe,2024,5.258,1.384,1.171,1.067,0.89,0.402,0.432
Austria,Europe,2015,7.486,1.905,1.745,1.348,0.768,0.326,0.13
New Zealand,Oceania,2017,7.291,1.668,1.59,1.268,0.532,0.531,0.427
Canada,North America,2015,6.01,1.508,1.383,1.093,0.795,0.552,0.02
New Zealand,Oceania,2022,3.169,0.858,0.809,0.715,0.511,0.493,0.171
Canada,North America,2015,4.069,1.116,0.855,0.783,0.46,0.138,0.03
India,South Asia,2024,5.142,1.307,1.106,1.001,0.501,0.22,0.391
India,South Asia,2022,4.725,1.296,1.172,0.987,0.874,0.005,0.044
India,South Asia,2026,4.873,1.327,0.981,0.992,0.381,0.174,0.485
Norway,Europe,2023,4.675,1.1,1.198,0.942,0.78,0.316,0.179
Germany,Europe,2015,4.334,1.132,1.079,0.796,0.383,0.121,0.177
Sweden,Europe,2026,3.753,0.887,1.033,0.707,0.793,0.263,0.316
Luxembourg,Europe,2023,5.801,1.399,1.173,1.152,0.662,0.145,0.21
Austria,Europe,2021,6.363,1.602,1.251,1.094,0.587,0.267,0.258
New Zealand,Oceania,2022,6.274,1.523,1.493,1.054,0.651,0.57,0.275
Switzerland,Europe,2026,3.643,1.054,0.868,0.787,0.419,0.025,0.153
Austria,Europe,2016,7.765,1.764,1.663,1.327,0.602,0.335,0.12
India,South Asia,2020,6.629,1.575,1.408,1.148,0.792,0.435,0.436
Sweden,Europe,2017,3.353,0.818,0.752,0.71,0.883,0.214,0.479
Netherlands,Europe,2015,7.449,1.734,1.715,1.229,0.869,0.12,0.151
Norway,Europe,2025,6.272,1.532,1.456,1.2,0.564,0.449,0.42
New Zealand,Oceania,2015,4.863,1.29,1.044,0.881,0.526,0.182,0.127
Germany,Europe,2022,7.016,1.61,1.629,1.178,0.339,0.338,0.251
Germany,Europe,2019,5.758,1.388,1.335,1.064,0.501,0.496,0.364
New Zealand,Oceania,2026,7.069,1.835,1.533,1.203,0.849,0.114,0.024
Netherlands,Europe,2018,3.413,0.849,0.895,0.651,0.409,0.332,0.452
Australia,Oceania,2016,7.344,1.812,1.545,1.348,0.457,0.047,0.172
Finland,Europe,2022,6.243,1.561,1.265,1.218,0.656,0.275,0.469
Austria,Europe,2026,6.79,1.635,1.531,1.305,0.611,0.014,0.014
Iceland,Europe,2021,6.752,1.607,1.416,1.27,0.37,0.508,0.133
Denmark,Europe,2024,3.563,1.072,0.877,0.686,0.613,0.409,0.159
Luxembourg,Europe,2023,4.211,1.004,1.023,0.762,0.864,0.0,0.378
Switzerland,Europe,2022,7.061,1.619,1.657,1.179,0.773,0.31,0.215
Canada,North America,2020,7.039,1.648,1.583,1.245,0.899,0.367,0.052
New Zealand,Oceania,2018,3.318,0.851,0.8,0.768,0.803,0.007,0.266
Canada,North America,2022,4.536,1.053,1.141,0.971,0.432,0.205,0.103
New Zealand,Oceania,2021,3.045,0.866,0.909,0.594,0.654,0.03,0.407
Canada,North America,2021,7.746,1.985,1.714,1.361,0.76,0.078,0.155
Sweden,Europe,2017,7.324,1.812,1.428,1.325,0.871,0.048,0.291
Australia,Oceania,2017,6.028,1.495,1.289,1.13,0.332,0.452,0.002
Australia,Oceania,2026,5.419,1.336,1.168,1.079,0.861,0.524,0.261
Norway,Europe,2015,7.42,1.785,1.521,1.233,0.587,0.568,0.28
Australia,Oceania,2018,6.101,1.453,1.479,1.024,0.835,0.229,0.357
Luxembourg,Europe,2023,3.808,0.967,0.944,0.84,0.873,0.012,0.176
Austria,Europe,2024,5.533,1.503,1.101,1.018,0.701,0.131,0.363
Switzerland,Europe,2025,5.165,1.355,1.11,0.89,0.874,0.548,0.463
Germany,Europe,2021,3.887,0.944,0.81,0.861,0.752,0.38,0.464
Austria,Europe,2026,3.623,0.891,0.792,0.705,0.528,0.478,0.096
Iceland,Europe,2023,5.317,1.316,1.215,1.033,0.736,0.214,0.286
India,South Asia,2024,4.296,1.118,1.158,0.802,0.896,0.138,0.104
Australia,Oceania,2020,7.042,1.787,1.585,1.213,0.314,0.097,0.175
New Zealand,Oceania,2021,7.415,1.731,1.652,1.328,0.33,0.223,0.243
United States,North America,2018,4.416,1.255,1.03,0.812,0.49,0.451,0.32
Luxembourg,Europe,2019,5.851,1.581,1.296,1.133,0.761,0.298,0.398
Australia,Oceania,2016,5.041,1.395,1.158,0.983,0.674,0.08,0.195
United States,North America,2026,7.666,1.778,1.603,1.269,0.445,0.226,0.27
Canada,North America,2018,4.092,1.145,1.125,0.779,0.713,0.155,0.464
New Zealand,Oceania,2020,6.853,1.57,1.513,1.233,0.476,0.157,0.29
Australia,Oceania,2018,3.159,0.887,0.72,0.602,0.674,0.187,0.22
Finland,Europe,2019,6.112,1.512,1.489,1.087,0.744,0.154,0.254
Norway,Europe,2026,4.58,1.175,1.008,0.788,0.429,0.42,0.385
Austria,Europe,2022,4.959,1.15,1.064,1.0,0.664,0.123,0.129
Iceland,Europe,2017,6.264,1.617,1.279,1.152,0.81,0.012,0.062
Sweden,Europe,2017,4.415,1.067,1.082,0.821,0.395,0.543,0.348
Denmark,Europe,2023,4.733,1.276,1.189,0.845,0.862,0.471,0.428
Switzerland,Europe,2022,3.688,0.938,0.783,0.671,0.386,0.427,0.015
India,South Asia,2017,7.532,1.728,1.617,1.358,0.875,0.54,0.22
Switzerland,Europe,2019,5.075,1.334,1.091,0.989,0.623,0.364,0.341
India,South Asia,2023,4.446,1.212,0.949,0.836,0.7,0.563,0.038
Germany,Europe,2022,5.609,1.301,1.14,1.052,0.497,0.132,0.233
Netherlands,Europe,2020,4.848,1.317,1.194,0.974,0.891,0.177,0.322
Switzerland,Europe,2018,7.034,1.68,1.591,1.319,0.761,0.234,0.469
Sweden,Europe,2019,5.764,1.492,1.151,1.043,0.829,0.097,0.207
Switzerland,Europe,2019,5.322,1.395,1.314,0.937,0.498,0.262,0.481
Canada,North America,2015,4.829,1.276,1.095,1.015,0.837,0.308,0.322
Norway,Europe,2016,6.34,1.621,1.349,1.095,0.849,0.256,0.327
Denmark,Europe,2022,4.988,1.352,1.114,0.969,0.426,0.25,0.464
Canada,North America,2024,4.206,1.223,1.058,0.788,0.709,0.4,0.303
Luxembourg,Europe,2020,4.288,1.238,1.129,0.892,0.316,0.354,0.353
Canada,North America,2020,7.542,1.938,1.579,1.411,0.3,0.211,0.057
Australia,Oceania,2024,7.668,1.795,1.726,1.392,0.303,0.596,0.378
Germany,Europe,2020,4.76,1.14,1.012,0.818,0.633,0.557,0.357
Norway,Europe,2015,5.025,1.261,1.232,1.021,0.357,0.338,0.381
Finland,Europe,2026,3.71,0.998,1.025,0.72,0.555,0.483,0.045
Netherlands,Europe,2022,5.743,1.363,1.266,1.097,0.491,0.068,0.308
New Zealand,Oceania,2023,5.208,1.304,1.245,0.972,0.377,0.528,0.214
Iceland,Europe,2018,6.107,1.462,1.439,1.15,0.69,0.252,0.481
Iceland,Europe,2021,5.773,1.397,1.363,0.976,0.328,0.487,0.217
Luxembourg,Europe,2020,5.916,1.527,1.225,1.025,0.875,0.354,0.195
Germany,Europe,2024,4.373,1.1,0.893,0.764,0.708,0.409,0.165
New Zealand,Oceania,2017,4.277,1.09,1.089,0.89,0.817,0.017,0.092
Canada,North America,2024,6.058,1.508,1.346,1.136,0.714,0.393,0.293
Germany,Europe,2024,4.249,1.215,1.093,0.848,0.451,0.067,0.449
New Zealand,Oceania,2025,4.699,1.246,1.073,0.939,0.663,0.147,0.406
Sweden,Europe,2025,4.533,1.13,1.067,0.837,0.567,0.221,0.368
Finland,Europe,2016,4.726,1.294,0.977,0.867,0.891,0.489,0.47
Norway,Europe,2015,4.957,1.385,1.085,0.995,0.635,0.137,0.009
India,South Asia,2026,5.629,1.334,1.238,1.067,0.729,0.032,0.332
Canada,North America,2025,3.135,0.778,0.86,0.581,0.313,0.071,0.475
India,South Asia,2016,3.415,0.877,0.999,0.632,0.357,0.052,0.488
Australia,Oceania,2024,4.03,0.948,1.115,0.79,0.659,0.168,0.379
United States,North America,2015,6.777,1.599,1.349,1.212,0.788,0.231,0.014
Finland,Europe,2017,6.555,1.593,1.309,1.2,0.498,0.568,0.251
Sweden,Europe,2017,7.338,1.672,1.463,1.218,0.458,0.265,0.321
India,South Asia,2017,7.335,1.899,1.469,1.371,0.589,0.272,0.392
Germany,Europe,2020,7.236,1.81,1.665,1.384,0.611,0.056,0.083
Norway,Europe,2025,3.497,1.023,0.819,0.82,0.722,0.104,0.238
Austria,Europe,2026,5.364,1.364,1.075,1.042,0.592,0.475,0.408
Australia,Oceania,2024,3.232,0.937,0.975,0.674,0.456,0.094,0.144
Luxembourg,Europe,2023,3.098,0.98,0.886,0.639,0.394,0.054,0.266
Canada,North America,2020,6.238,1.514,1.373,1.236,0.611,0.579,0.008
Luxembourg,Europe,2025,6.01,1.544,1.353,1.01,0.39,0.553,0.116
Netherlands,Europe,2022,6.262,1.539,1.503,1.198,0.557,0.041,0.434
United States,North America,2015,4.496,1.236,0.924,0.814,0.426,0.596,0.285
Netherlands,Europe,2019,4.307,1.039,0.913,0.905,0.597,0.379,0.166
Switzerland,Europe,2022,4.236,1.059,1.058,0.766,0.67,0.511,0.06
Australia,Oceania,2026,3.381,0.881,0.892,0.719,0.358,0.479,0.487
Norway,Europe,2020,7.297,1.794,1.694,1.23,0.775,0.036,0.442
Canada,North America,2020,4.777,1.149,1.205,0.937,0.516,0.266,0.413
Luxembourg,Europe,2018,3.43,1.032,0.834,0.684,0.423,0.538,0.109
Australia,Oceania,2023,7.228,1.649,1.65,1.266,0.695,0.223,0.348
Finland,Europe,2026,3.105,0.97,0.664,0.731,0.401,0.235,0.411
Sweden,Europe,2021,7.155,1.749,1.498,1.306,0.505,0.208,0.367
India,South Asia,2023,3.964,1.124,1.055,0.794,0.616,0.418,0.255
Germany,Europe,2021,7.775,1.798,1.677,1.443,0.712,0.529,0.168
Austria,Europe,2017,6.26,1.674,1.228,1.141,0.854,0.518,0.012
Canada,North America,2017,3.021,0.912,0.736,0.706,0.867,0.586,0.447
Luxembourg,Europe,2024,3.934,1.072,0.971,0.692,0.535,0.544,0.449
Austria,Europe,2016,4.833,1.253,1.226,0.931,0.881,0.479,0.477
Denmark,Europe,2024,7.213,1.845,1.474,1.228,0.819,0.051,0.204
New Zealand,Oceania,2019,6.904,1.603,1.489,1.231,0.494,0.55,0.327
Canada,North America,2026,3.32,0.879,0.948,0.683,0.457,0.599,0.437
Norway,Europe,2018,5.696,1.305,1.42,1.116,0.322,0.106,0.411
Denmark,Europe,2025,7.521,1.954,1.72,1.376,0.592,0.049,0.365
Sweden,Europe,2021,5.737,1.386,1.205,1.025,0.788,0.256,0.156
Germany,Europe,2019,3.155,0.967,0.833,0.594,0.473,0.59,0.297
Australia,Oceania,2017,3.054,0.882,0.689,0.723,0.767,0.3,0.106
Netherlands,Europe,2025,3.75,0.923,0.963,0.861,0.835,0.356,0.269
Iceland,Europe,2017,5.628,1.393,1.386,0.991,0.359,0.38,0.048
Denmark,Europe,2019,5.033,1.294,1.303,0.899,0.525,0.079,0.304
Canada,North America,2026,5.314,1.281,1.243,1.005,0.403,0.243,0.218
Switzerland,Europe,2018,7.077,1.79,1.64,1.309,0.842,0.033,0.228
Netherlands,Europe,2021,3.841,0.98,0.887,0.728,0.506,0.309,0.427
India,South Asia,2018,7.009,1.813,1.487,1.221,0.335,0.558,0.033
Netherlands,Europe,2015,4.815,1.346,1.093,0.986,0.47,0.179,0.298
Norway,Europe,2024,5.484,1.491,1.323,1.082,0.562,0.232,0.096
Finland,Europe,2020,7.605,1.91,1.558,1.29,0.893,0.04,0.422
Switzerland,Europe,2022,5.011,1.36,1.029,0.922,0.871,0.419,0.377
India,South Asia,2017,7.546,1.83,1.483,1.385,0.535,0.426,0.29
Iceland,Europe,2020,3.298,0.784,0.807,0.733,0.434,0.26,0.49
United States,North America,2015,7.375,1.801,1.475,1.332,0.655,0.016,0.045
Canada,North America,2017,4.64,1.125,1.162,0.989,0.821,0.131,0.026
New Zealand,Oceania,2016,6.958,1.776,1.54,1.195,0.362,0.152,0.255
